date,weekofday,배추_거래량(kg),배추_가격(원/kg),무_거래량(kg),무_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),건고추_거래량(kg),건고추_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),얼갈이배추_거래량(kg),얼갈이배추_가격(원/kg),양배추_거래량(kg),양배추_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),당근_거래량(kg),당근_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),새송이_거래량(kg),새송이_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),청상추_거래량(kg),청상추_가격(원/kg),백다다기_거래량(kg),백다다기_가격(원/kg),애호박_거래량(kg),애호박_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg)
2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,토요일,80860.0,329.0,80272.0,360.0,122787.5,1281.0,3.0,11000.0,15019.0,5475.0,92334.0,1704.0,6359.0,1331.0,40028.0,348.0,4374.9,13242.0,16550.5,2339.0,10528.0,1729.0,13885.0,804.0,3853.0,3703.0,15797.0,2576.0,14634.0,1474.0,30950.0,1621.0,5125.0,9235.0,434.0,2109.0,19159.0,2414.0,880.0,2014.0,0.0,0.0
2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,월요일,1422742.5,478.0,1699653.7,382.0,2315079.0,1235.0,699.0,4464.0,141638.0,5210.0,994328.1,1716.0,262615.5,1212.0,1074699.1,345.0,122613.5,9923.0,427435.1,2153.0,82113.5,3960.0,558950.2,794.0,104930.3,4871.0,277326.5,2440.0,159800.0,1750.0,291057.0,1834.0,38525.5,7631.0,500702.0,2046.0,620539.0,2018.0,2703.8,3885.0,0.0,0.0
2016-01-05,화요일,1167241.0,442.0,1423482.3,422.0,2092960.1,1213.0,1112.6,4342.0,126207.8,5387.0,787716.0,1715.0,221850.5,1197.0,825681.9,350.0,79055.9,9529.0,334636.8,2220.0,80144.0,3333.0,444353.7,763.0,100699.5,5129.0,218465.2,2437.0,153084.0,1822.0,194626.5,1833.0,32615.0,6926.0,147638.0,2268.0,231958.0,2178.0,8810.0,2853.0,0.0,0.0
2016-01-06,수요일,1045507.5,442.0,1904372.1,409.0,1860569.0,1263.0,1672.0,7041.0,91531.0,5013.0,793584.9,1620.0,199151.0,1142.0,910812.3,327.0,78532.8,8123.0,357749.8,2219.0,76832.6,3133.0,396170.4,787.0,93051.3,5120.0,187900.4,2343.0,152693.1,1519.0,178811.0,1999.0,31081.4,5511.0,190011.0,2535.0,269894.2,2503.0,7487.0,2119.0,0.0,0.0
2016-01-07,목요일,1039925.0,448.0,1438990.2,428.0,1868011.7,1241.0,1191.0,3908.0,349913.8,4360.0,733312.0,1545.0,200119.0,992.0,836339.0,315.0,75987.7,6793.0,323944.6,2208.0,49040.9,2259.0,241115.0,770.0,60895.4,5095.0,181058.6,2291.0,148757.3,1365.0,107346.3,1921.0,27873.6,4384.0,158516.0,2440.0,198854.0,2533.0,4687.8,2997.0,0.0,0.0
2016-01-08,금요일,942655.0,420.0,1563537.8,390.0,1483395.0,1218.0,672.4,4836.0,71284.7,4850.0,797767.3,1488.0,183060.7,988.0,772649.0,313.0,79078.7,5644.0,341967.7,2033.0,70512.3,2106.0,359789.0,705.0,65819.2,6191.0,175501.0,2254.0,148426.1,1349.0,190624.0,2107.0,29272.8,3554.0,181992.0,2303.0,307436.6,2509.0,4916.0,2734.0,0.0,0.0
2016-01-09,토요일,689121.0,389.0,1723983.9,345.0,1107262.5,1210.0,5456.6,5112.0,65746.0,4527.0,739213.0,1433.0,137180.5,912.0,663653.9,282.0,74088.1,5128.0,309096.2,2104.0,60824.6,2109.0,252760.0,728.0,51436.2,6025.0,177022.8,2308.0,149971.0,1273.0,137028.0,2111.0,31822.0,3095.0,164854.0,2035.0,191536.0,2436.0,1766.0,4773.0,0.0,0.0
2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,월요일,1161028.0,398.0,1940798.7,336.0,1651529.5,1215.0,73.0,5712.0,65579.5,4956.0,904317.5,1323.0,208918.5,979.0,743937.2,303.0,97151.3,5218.0,370402.6,2096.0,64987.2,2891.0,466766.0,750.0,63485.3,7090.0,204568.2,2335.0,155995.5,1351.0,199396.0,2170.0,33310.8,3116.0,284347.0,2183.0,337420.0,2431.0,2039.8,2133.0,0.0,0.0
2016-01-12,화요일,730460.1,431.0,1748847.8,309.0,1606583.0,1161.0,6321.0,5498.0,94680.5,5083.0,773384.3,1321.0,176629.0,991.0,669754.0,306.0,67584.4,5263.0,331065.7,2072.0,58316.0,3180.0,396646.5,735.0,63428.5,7264.0,187547.8,2339.0,150776.0,1323.0,170969.0,2281.0,27964.0,2656.0,143468.0,2153.0,194121.0,2562.0,920.0,3072.0,0.0,0.0
2016-01-13,수요일,642654.0,429.0,1416822.0,307.0,1211231.0,1166.0,758.8,6879.0,67457.0,5138.0,657071.5,1263.0,149015.5,925.0,569321.5,319.0,61144.8,5302.0,266067.6,2015.0,49868.5,3404.0,314062.0,706.0,48656.2,7113.0,148806.2,2384.0,133402.0,1272.0,162336.0,2488.0,26757.0,2787.0,126107.0,2182.0,230051.0,2549.0,2674.8,2261.0,0.0,0.0
